Redlist_id,TaxonomicNotes.value,classname,family,genus,infraType,infra_authority,infra_name,internal_taxon_id,internal_taxon_name,kingdom,ordername,phylum,species,taxonomicAuthority,,,
165187,,,RANUNCULACEAE,Adonis,,,,,Adonis vernalis,,,,vernalis,L.,,,
203400,,,RANUNCULACEAE,Delphinium,,,,,Delphinium staphisagria,,,,staphisagria,L.,,,
164471,,,RANUNCULACEAE,Ficaria,,,,,Ficaria verna,,,,verna,Huds.,,,
203401,,,RANUNCULACEAE,Helleborus,,,,,Helleborus foetidus,,,,foetidus,L.,,,
203403,,,RANUNCULACEAE,Hepatica,,,,,Hepatica nobilis,,,,nobilis,Mill.,,,
164056,,,RHAMNACEAE,Frangula,,,,,Frangula alnus,,,,alnus,Mill.,,,
202915,,,ROSACEAE,Agrimonia,,,,,Agrimonia eupatoria,,,,eupatoria,L.,,,
202916,,,ROSACEAE,Alchemilla,,,,,Alchemilla acutiloba,,,,acutiloba,Opiz,,,
202917,,,ROSACEAE,Alchemilla,,,,,Alchemilla crinita,,,,crinita,Buser,,,
202918,,,ROSACEAE,Alchemilla,,,,,Alchemilla mollis,,,,mollis,(Buser) Rothm.,,,
202928,,,ROSACEAE,Aphanes,,,,,Aphanes arvensis,,,,arvensis,L.,,,
64321666,,,ROSACEAE,Argentina,,,,,Argentina anserina,,,,anserina,(L.) Rydb.,,,
33987,,,ROSACEAE,Crataegus,,,,,Crataegus azarolus,,,,azarolus,L.,,,
203426,,,ROSACEAE,Crataegus,,,,,Crataegus monogyna,,,,monogyna,Jacq.,,,
203428,,,ROSACEAE,Crataegus,,,,,Crataegus pentagyna,,,,pentagyna,Waldst. &amp; Kit. ex Willd.,,,
203433,,,ROSACEAE,Filipendula,,,,,Filipendula ulmaria,,,,ulmaria,(L.) Maxim.,,,
203434,,,ROSACEAE,Filipendula,,,,,Filipendula vulgaris,,,,vulgaris,Moench,,,
172072,,,ROSACEAE,Fragaria,,,,,Fragaria vesca,,,,vesca,L.,,,
203436,,,ROSACEAE,Geum,,,,,Geum urbanum,,,,urbanum,L.,,,
50049710,,,ROSACEAE,Malus,,,,,Malus orientalis,,,,orientalis,Uglitzk.,,,
203438,,,ROSACEAE,Potentilla,,,,,Potentilla erecta,,,,erecta,(L.) Raeusch.,,,
172194,,,ROSACEAE,Prunus,,,,,Prunus spinosa,,,,spinosa,L.,,,
203446,,,ROSACEAE,Rosa,,,,,Rosa agrestis,,,,agrestis,Savi,,,
